 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"				    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	      	    	  	  	    Title",Technology Broad Category,Technology Mid-Type,Technology Sub-Type,Status,Description,Rated Power,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced,Commissioned,Constructed,Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance,Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
Centurylink - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.199848,-118.34,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.15.YYYY 23:15:24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IKEA #1 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.185571,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.14.YYYY 23:14:42,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IKEA #2 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.185571,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.14.YYYY 23:14:18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Burbank Mall, Town Center - Ice Energy",Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34,-118,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.13.YYYY 23:13:38,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hollywood Burbank Airport #1 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1955111,-118.35,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.13.YYYY 23:13:17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hollywood Burbank Airport #2 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1955111,-118.35,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.12.YYYY 23:12:52,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hollywood Burbank Airport #3 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1955111,-118.35,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.12.YYYY 23:12:23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Disney Studios #1 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1562013,-118.33,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.11.YYYY 23:11:33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Disney Studios #2 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1562013,-118.33,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.10.YYYY 23:10:51,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Burbank Fire Station #16 #1 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.2006531,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.19.YYYY 23:19:06,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SCE Distributed Energy Storage Integration (DESI) Pilot 1,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,"Southern California Edison&#039;s (SCE) Distributed Energy Storage Integration (DESI) Pilot 1 supports the Scarlet 12 kV distribution circuit out of Orange Substation. This circuit feeds several large commercial and industrial customers, and sees intermittent, multi-megawatt spikes in demand as part of the customers’ manufacturing and testing operations. DESI 1 constantly monitors overall circuit load, as well as load from the predominant customer on the circuit, and discharges to dynamically limit the power of either of these loads to a predefined threshold.   The 2.4 MW/3.9 MWh NEC Solutions lithium-ion battery defers the need for costly distribution network upgrades and increases reliability by ensuring the circuit can meet summertime peaks. In addition to limiting load, the system can simultaneously support the voltage of the distribution circuit, or control reactive power flow at the substation by using the reactive power capability of the power conversion system.",2400,33.78659,-117.88,,"Stationary Transmission/Distribution Upgrade Deferral, Voltage Support, ",Orange,California,United States,DD.09.YYYY,DD.05.YYYY,,,CAISO,Southern California Edison,Investor Owned,Primary Distribution,,15,N/A,0,0,,,DD.59.YYYY 20:59:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
Imperial Irrigation District BESS - GE,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,"Imperial Irrigation District (IID) is installing a large-scale battery system that will help integrate around 50 MW of solar generation capacity to the local grid. The project will involve the installation of a 30 MW / 20 MWh battery-based energy storage system with 92 kV interconnection. The IID battery will help the grid accommodate power from two large-scale solar projects, Midway III and SunPeak 2.  The facility, sited near the El Centro Power Plant Unit 3 Repower Project, will aid grid flexibility and increase reliability on the IID network by providing solar ramping, frequency regulation, power balancing and black start capability for an adjacent gas turbine.",30000,32.792,-115.56,,"Black Start, Electric Supply Reserve Capacity - Spinning, Frequency Regulation, Load Following (Tertiary Balancing), Ramping, ",El Centro,California,United States,DD.12.YYYY,DD.10.YYYY,DD.11.YYYY,,IID,Imperial Irrigation District,Public Owned,Transmission,Coachella Energy Storage Partners (CESP),0,,0,0,,,DD.37.YYYY 20:37:53,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2 MW/ 4.4 MWh Puget Sound Energy - Glacier Battery Storage,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,"Puget Sound Energy (PSE) and Renewable Energy Systems Americas Inc. (RES Americas) have signed agreements to cooperate on launching an innovative battery storage project in Whatcom County that could pave the way for larger scale efforts in PSE’s service territory.  Electricity will be stored in state-of-the-art battery modules that are as large as 40-foot shipping containers, the same amount of energy found in 1.7 million AA batteries. The battery system will be capable of providing up to 18 hours of power during an outage for the core area of Glacier. The average demand of the core part of town is estimated to be 250 kW.  The Glacier battery units have been online since September 2016, however, the automation of the batteries has not yet been completed. This means that the units cannot automatically shift the power load of the &quot;island&quot; from the power grid to the batteries and back to the grid.  During a planned power outage on Oct. 24, we completed some very useful and valuable testing of the automation, during which the batteries successfully powered the island of the town for approximately 6 hours. Future testing of the automation feature will be required.  During a planned power outage on Aug. 28, we successfully used the battery to back up the island of customers in Glacier",2000,48.8901226,-121.95,,"Resiliency, ",Glacier,Washington,United States,DD.12.YYYY,DD.05.YYYY,DD.09.YYYY,,N/A,Puget Sound Energy,Investor Owned,Transmission,RES Americas,0,N/A,9800000,0,,,DD.53.YYYY 17:53:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Verdugo Recreation #1 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1808392,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.20.YYYY 23:20:47,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Burbank Water Reclamation Plant #1 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1822817,-118.32,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.20.YYYY 23:20:07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Burbank Buena Vista Library #1 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1639544,-118.33,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp;amp; Power,Public Owned,,Ice Energy,0,N/A,0,0,,,DD.19.YYYY 23:19:36,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S&amp;C CES: Chicago/PJM Frequency Regulation,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,S&amp;amp;C Electric Company deployed six 25 kW PureWave Community Energy Storage (CES) systems at its global headquarters in Chicago. The 150 kW energy storage system provides fast frequency response regulation for the PJM wholesale market. S&amp;amp;C is selling its CES stored electricity to PJM through Intelligent Generation.,150,41.8781136,-87.63,,"Frequency Regulation, ",Chicago,Illinois,United States,DD.10.YYYY,DD.10.YYYY,,,PJM,,,,,0,,0,0,,,DD.07.YYYY 19:07:10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Terra Verde/SolarCity - Burton School District Energy Storage &amp; PV Project,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Contracted,"Burton School District, in California&#039;s San Joaquin Valley, will house combined solar and energy storage systems from SolarCity. The district will install solar and DemandLogic™, SolarCity&#039;s smart energy storage system for businesses, to generate and store its own clean, renewable electricity at eight schools. DemandLogic will allow the district schools to reduce energy costs by using stored electricity to lower peak demand.   SolarCity will install the district&#039;s solar systems and advanced battery technology at eight elementary and middle schools, as well as additional solar generation at a district office. The solar installations will total more than 1.4 megawatts of clean power capacity, with storage providing an additional 360 kilowatts (720 kilowatt hours) of power to reduce peak demand. The new solar systems are expected to save the district more than $1 million dollars over the life of the contracts, and the DemandLogic battery storage systems could save thousands more on demand charges each year.   Burton School District retained TerraVerde Renewable Partners, an independent energy advisor, to assess and scope an optimal energy cost savings program, analyze financing options, organize the RFP process and help the district select the best candidate to meet the program&#039;s specifications.   The new SolarCity systems are expected to generate 2.3 million kilowatt hours of solar energy annually, and enough over the life of the contract to power more than 4,000 homes for a year. The solar systems will also help avoid more than 43 million pounds of carbon dioxide from entering the atmosphere and save more than 203 million gallons of water*, an especially important environmental benefit in the drought-stricken valley. The entire storage project is expected to be complete by May 2015.",360,36.06523,-119.02,,"Electric Bill Management with Renewables, Onsite Renewable Generation Shifting, Renewables Capacity Firming, ",Porterville,California,United States,DD.11.YYYY,DD.05.YYYY,,,CAISO,,,,Terra Verde Renewable Partners,0,,0,0,,,DD.56.YYYY 00:56:13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
AES Alamitos Energy Storage Array,Electro-chemical,Electro-chemical,Lithium-ion Battery,Under Construction,"AES Southland announced that it has been awarded a 20-year Power Purchase Agreement (PPA) by Southern California Edison (SCE), to provide 100 MW of interconnected battery-based energy storage, a 200 MW flexible power resource. This new capacity can deliver 400 MWh of energy and will be built south of Los Angeles at the Alamitos Power Center in Long Beach, California.",100000,33.7700504,-118.19,,"Electric Supply Capacity, ",Long Beach,California,United States,DD.11.YYYY,,,,CAISO,Southern California Edison,Investor Owned,,AES Energy Storage,0,http://www.renewaesalamitos.com/AES-Alamitos-Fact-Sheet-2015.pdf,0,0,,,DD.42.YYYY 15:42:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bosch Fort Bragg,Electro-chemical,Lithium-ion Battery,Lithium Iron Phosphate Battery,Operational,100 kW outdoor system in 20&#039; container (PCS and Battery in the same container),100,35,-79,,"Electric Bill Management with Renewables, Frequency Regulation, Renewables Capacity Firming, Resiliency, ",Fort Bragg,North Carolina,United States,DD.10.YYYY,,,,PJM,Sand Hills Utility,State/Municipal Owned,Secondary Distribution,Bosch,3,N/A,0,0,,,DD.18.YYYY 16:18:23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Goldman Sachs Manhattan Headquarters,Thermal Storage,Chilled Water Thermal Storage,Chilled Water Thermal Storage,Operational,"&lt;p&gt;Beneath the trading floors of Goldman Sachs Group Inc.’s Manhattan headquarters are 92 tanks for ice thermal storage. Goldman runs chilled anti-freeze through pipes connected to the 11-ton vessels during summer nights -- when power costs less -- to freeze the water. That ice is used the next day in its air-conditioning system, when high-demand electricity comes with a surcharge.&lt;/p&gt;",2000,40.7148476,-74.01,,"Electric Bill Management, ",New York,New York,United States,,,DD.10.YYYY,,NYISO,,Investor Owned,Transmission,,0,N/A,0,0,,,DD.19.YYYY 23:19:50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
